"","pmid","DOI","Title","First.Author","Publication.Year","Journal.Book","PMCID","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","is_coi_pred","coi_text","is_fund_pred","fund_text","is_register_pred","register_text"
"11",29765449,"10.5114/aoms.2016.59894","Effects of single and combined low frequency electromagnetic fields and simulated microgravity on gene expression of human mesenchymal stem cells during chondrogenesis","Mayer-Wagner S",2018,"Arch Med Sci","PMC5949910",FALSE,"",FALSE,"","",TRUE,"Conflict of interest The authors declare no conflict of interest.",TRUE,"This research was supported by the Bayerische Forschungsstiftung (AZ 883/09). The work of Florian Hammerschmid was supported by the “Promotionsstudium Förderung für Forschung und Lehre” program from the University of Munich.",FALSE,""
"12",31156461,"10.3389/fphys.2019.00584","Optimization of Exercise Countermeasures for Human Space Flight: Operational Considerations for Concurrent Strength and Aerobic Training","Jones TW",2019,"Front Physiol","PMC6532362",FALSE,"",FALSE,"","",TRUE,"Conflict of Interest Statement The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"Funding.  The publication fees of this article are funded by the European Space Agency.",FALSE,""
"13",31565646,"10.22088/IJMCM.BUMS.7.3.146","Simulated Microgravity Condition Alters the Gene Expression of some ECM and Adhesion Molecules in Adipose Derived Stem Cells","Ebnerasuly F",2018,"Int J Mol Cell Med","PMC6744620",FALSE,"",FALSE,"","",TRUE,"Conflict of interest The authors declared no conflict of interest.",TRUE,"We are grateful to Setareh Madani for her critically reviewing and editing the manuscript. This work was supported by a research grant from the Aerospace Research Institute.",FALSE,""
"14",24904521,"10.3389/fneur.2014.00077","Cytomorphometric Changes in Hippocampal CA1 Neurons Exposed to Simulated Microgravity Using Rats as Model","Ranjan A",2014,"Front Neurol","PMC4032998",FALSE,"",FALSE,"","",TRUE,"Conflict of Interest Statement The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"Amit Ranjan received fellowship from Council of Scientific and Industrial Research. Research funding from Department of Science and Technology, FIST, DST-PURSE, UPOE, and J.C. Bose Fellowship to Birendra N. Mallick are acknowledged. TEM was carried out at the AIRF, JNU.",FALSE,""
"15",33815472,"10.3389/fgene.2021.638708","Effects of Simulated Microgravity on the Proteome and Secretome of the Polyextremotolerant Black Fungus Knufia chersonesos","Tesei D",2021,"Front Genet","PMC8012687",TRUE,"field-specific repository",FALSE,"wgs data for k chersonesos ma5789 are available in ncbi genbank (gca_002319055 1) under biosample accession number samn07326825 and bioproject accession number prjna393270 .;     the proteomics datasets generated during the current study are accessible through the proteomexchange consortium ( http://proteomecentral proteomexchange org ) via pride with the data set identifier pxd022898.","",TRUE,"Conflict of Interest The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"Funding.  This research was funded by the Austrian Science Fund (FWF, Der Wissenschaftsfonds) project T872 Firnberg-Programm awarded to DT. A 2012 NASA Space Biology grant no. 19-12829-26 under Task Order NNN13D111T was awarded to KV which also supported GBMM. The Mass Spectrometry and Proteomics Core Facility at the City of Hope was supported in part by the National Cancer Institute of the National Institutes of Health under award no. P30CA033572. AC and MK were supported by Jet Propulsion Laboratory (JPL) subcontract no. 1611422.",FALSE,""
"16",32133389,"10.1038/s41526-020-0096-x","Effect of simulated microgravity on the antidiabetic properties of wheatgrass (Triticum aestivum) in streptozotocin-induced diabetic rats","Al-Awaida WJ",2020,"NPJ Microgravity","PMC7039905",FALSE,"",FALSE,"","",TRUE,"Competing interests The authors declare no competing interests.",TRUE,"This work was supported by Deanship of Scientific Research at the American University of Madaba with grant number 65/12/2017.",FALSE,""
"17",32523594,"10.3389/fpls.2020.00631","Competitive Growth Assay of Mutagenized Chlamydomonas reinhardtii Compatible With the International Space Station Veggie Plant Growth Chamber","Zhang J",2020,"Front Plant Sci","PMC7261848",FALSE,"",TRUE,"","we thank matthew hoffman and nicole dufour for organizing the evt at the kennedy space center veggie facility and nicole s beisel for technical assistance 1 http://broadinstitute github io/picard/ supplementary material the supplementary material for this article can be found online at: https://www frontiersin org/articles/10 3389/fpls2020 00631/full#supplementary-material click here for additional data file.",TRUE,"Conflict of Interest The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"Funding.  This work was funded by the Center for the Advancement of Science in Space (currently International Space Station U.S. National Laboratory) grant number GA-2017-254, the Florida Space Institute grant number UCF01-0000381921, the National Institute of Food and Agriculture project number FLA-HOS-005468, and the Vasil-Monsanto Endowment.",FALSE,""
"18",36674696,"10.3390/ijms24021181","Long-Term Simulation of Microgravity Induces Changes in Gene Expression in Breast Cancer Cells","Sahana J",2023,"Int J Mol Sci","PMC9864731",FALSE,"",FALSE,"","",TRUE,"Conflicts of Interest The authors declare no conflict of interest.",TRUE,"Our study was financed by the Deutsches Zentrum für Luft- und Raumfahrt (DLR), BMWi projects 50WB1924 (DG) and 50WB2219 (DG).",FALSE,""
"19",29686401,"10.1038/s41598-018-24942-7","Simulated microgravity, Mars gravity, and 2g hypergravity affect cell cycle regulation, ribosome biogenesis, and epigenetics in Arabidopsis cell cultures","Kamal KY",2018,"Sci Rep","PMC5913308",FALSE,"",FALSE,"","",TRUE,"Competing Interests The authors declare no competing interests.",TRUE,"This work is a part of KY PhD dissertation, which has been published by Universidad Complutense de Madrid, Spain, 2014. The skillful technical assistance of Mrs. Mercedes Carnota (CIB-CSIC) with different lab procedures is gratefully acknowledged, as well as the Technical Services of Genomics and Flow Cytometry of CIB-CSIC for the assistance with the RT-PCR procedures and the analysis of flow cytometry data, respectively, and Mr. Alan Dowson for his support at the TEC-MMG LIS lab (ESA-ESTEC). We also thank Dr. Crisanto Gutierrez, at CBM (UAM-CSIC, Spain) and Dr. Julio Sáez-Vásquez (CNRS-University of Perpignan-Via Domitia, France) for generous supply of MM2d cultures and anti-nucleolin antibody, respectively. Finally, a great thankful acknowledgement to Prof. John Z. Kiss (University of North Carolina at Greensboro, USA) for revision and corrections regarding the English language style and the scientific content of the manuscript. This work was supported by the Spanish “Plan Estatal de Investigación Científica y Ténica y de Innovación” of the Ministry of Economy, Industry and Competitiveness [Grant numbers AYA2012–33982 and ESP2015–64323-R, co-funded by ERDF], by a pre-doctoral fellowship to [Kh.Y.K.] from CSIC, Spain [JAE-PreDoc Program, Ref. JAEPre_2010_01894] the ESA-ELIPS Program [ESA SEGMGSPE_Ph1 Project, contract number 4200022650], and ESA support via contract TEC-MMG/2012/263.",FALSE,""
"20",36658133,"10.1038/s41526-023-00250-x","Time perception in astronauts on board the International Space Station","Navarro Morales DC",2023,"NPJ Microgravity","PMC9852442",FALSE,"",FALSE,"","",TRUE,"Competing interests The authors declare no competing interests.",TRUE,"The author thank Jean-François Clervoy for sharing his thoughts on time perception during space travel; Robert Macgregor, François Derache, and Maurice Marnat for their help in implementing this experiment; and Kerry George for editing the manuscript. European Space Agency provided access to the astronauts and the International Space Station (no grant number) and Centre National d’Etudes Spatiales provided the equipment and travel support for the investigators (grant # 2021/480001115).",FALSE,""
"21",32296408,"10.3389/fmicb.2020.00525","Microbial Monitoring in the EDEN ISS Greenhouse, a Mobile Test Facility in Antarctica","Fahrion J",2020,"Front Microbiol","PMC7137377",FALSE,"",FALSE,"","",TRUE,"Conflict of Interest The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"Funding.  The EDEN ISS project (Evaluation and Design of Environmentally-closed Nutrition-sources) was funded by the European Union‘s Research and Innovation Action program Horizon 2020 (Grant Agreement ID: 636501).",FALSE,""
"22",30250055,"10.1038/s41598-018-32073-2","Effectiveness of endothelial progenitor cell culture under microgravity for improved angiogenic potential","Hagiwara H",2018,"Sci Rep","PMC6155294",FALSE,"",FALSE,"","",TRUE,"Competing Interests The authors declare no competing interests.",TRUE,"This work was supported by the JSPS KAKENHI Grant-in-Aid for Young Scientists (B; grant number 16K20370), a grant of Strategic Research Foundation Grant-aided Project for Private Universities from Ministry of Education, Culture, Sport, Science, and Technology, Japan (MEXT), 2014-2018 (S1411007), President’s Grant for Interfaculty Collaboration, Juntendo University and research grant from Institute for Environmental and Gender Specific Medicine. The authors grateful thank Dr. Kayo Arita, Dr. Makiko Kado and Ms.Rie Ito-Hirano, for their invaluable assistance in this study. We would also like to thank the Japan Aerospace Exploration Agency (JAXA) for all their support. Editorial support, in the form of medical writing based on authors’ detailed directions, collating author comments, copy editing, fact-checking, and referencing was provided by Cactus Communications.",FALSE,""
"23",34191829,"10.1371/journal.pone.0253403","A CRISPR-based assay for the study of eukaryotic DNA repair onboard the International Space Station","Stahl-Rommel S",2021,"PLoS One","PMC8244870",TRUE,"field-specific repository, data availability statement",FALSE,"data availability dna sequence data will be available in the european nucleotide archive (ena) under project prjeb39039.;     data availability dna sequence data will be available in the european nucleotide archive (ena) under project prjeb39039.;     dna sequence data is available in the european nucleotide archive (ena) under project prjeb39039 ( https://www ebi ac uk/ena/browser/view/prjeb39039 ) s1 video christina koch first uses a pipette to dispense 120 l of transformed saccharomyces cerevisiae cells across the plate and then spreads them across the plate using a plastic spreader (pdf) click here for additional data file s1 fig colonies of interest were sequenced using sanger methods and aligned to the expected ade2 wild type (wt) sequence.      data availability dna sequence data will be available in the european nucleotide archive (ena) under project prjeb39039","",TRUE,"Competing Interests: E.A.S., E.J.G., and S.K. are employed by miniPCR bio, manufacturer of the device used for transformation, DNA extraction, and DNA amplification. D.S.C and K.D.F. are employed by Boeing and S.S.R. and C.L.C. are employed by JES Tech. This does not alter our adherence to PLOS ONE policies on sharing data and materials. The remaining authors declare no competing financial interests.",TRUE,"This study was funded by miniPCR bio and Boeing.",FALSE,""
"24",36017336,"10.3389/fphys.2022.928313","Implementation of exercise countermeasures during spaceflight and microgravity analogue studies: Developing countermeasure protocols for bedrest in older adults (BROA)","Hedge ET",2022,"Front Physiol","PMC9395735",FALSE,"",FALSE,"","",TRUE,"Conflict of interest The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"Funding This work was supported by Canadian Institutes of Health Research (CIHR) grants held by RH (UH1- 417521) and JM (UH2-161692), in addition to the financial support of the Canadian Space Agency and the CIHR. EH was also supported by a CIHR Banting and Best Canada Graduate Scholarship (201911FBD-434513-72081).",FALSE,""
"25",27097220,"10.1371/journal.pone.0152877","Spaceflight Activates Lipotoxic Pathways in Mouse Liver","Jonscher KR",2016,"PLoS One","PMC4838331",TRUE,"field-specific repository, supplement",FALSE,"intact livers were not weighed prior to dissection and distribution however liver mass was measured on a comparable previous flight sts-118 where flt mice exhibited a significant decrease in liver / brain mass as compared with aem controls; significance was lost when liver mass was compared with body mass [ ] 10 1371/journal pone 0152877 t001 table 1 aem flt flt/aem p -value b intake food intake (g) a 4 08 +/- 0 10 4 09 +/- 0 18 1 00 0 865 water intake (g) 3 38 +/- 0 22 2 73 +/- 0 01 0 81 0 038 body composition body mass (g) c -1 18 +/- 0 24 -2 28 +/- 0 57 1 93 0 036 % fat a 4 12 +/- 0 77 5 05 +/- 1 84 1 22 0 022 adipose depots inguinal (g) 0 168 +/- 0 018 0 144 +/- 0 024 0 859 0 447 retro-peritoneal (g) 0 146 +/- 0 022 0 147 +/- 0 029 1 00 0 995 perigonadal (g) 0 411 +/- 0 054 0 433 +/- 0 082 1 03 0 897 bat (g) 0 049 +/- 0 007 0 034 +/- 0 004 0 682 0 092 values represent mean +/- sem a food and water intakes are calculated based on consumption over the 12 8-day flight for 3 cages of 5 mice in each group and are an estimate of intake per mouse per day b p values are obtained using a two-tailed student's t-test comparing aem and flt means c the mean change (final-baseline) of body mass and % fat from dxa measurements are provided; data are presented from n = 6 mice per group a subset of the 15 mice/group that were originally measured corresponding to the mice from which we received liver tissue.     file s1 table (docx) click here for additional data file s2 table (xlsx","",TRUE,"Competing Interests: The authors have declared that no competing interests exist.",TRUE,"This work was partially funded by the National Aeronautics and Space Administration grant NNX10AJ31G (D.S.G. and M.J.P.; www.nasa.gov) and NNX10AE39G (M.L.B.). Additional support was provided by Department of Anesthesiology at the University of Colorado Anschutz Medical Campus (K.R.J.) and the LLUMC Department of Radiation Medicine (D.S.G., M.J.P.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",FALSE,""
"26",28725714,"10.1038/npjmgrav.2015.10","Microgravity protein crystallization","McPherson A",2015,"NPJ Microgravity","PMC5515504",FALSE,"",FALSE,"","",TRUE,"The authors declare no conflict of interest.",TRUE,"SummaryUse of a microgravity environment to improve the quality of macromolecular crystals has been under investigation since 1985. Results from a large and diverse on a number of proteins suggest that the diffusion-dominated environment provided via different microgravity platforms is often beneficial to several different protein crystallization techniques. The research was performed by group of international investigators who were sponsored by space agencies from several countries including the National Aeronautics and Space Administration (NASA), ESA, JAXA, Canadian Space Agency (CSA), German Aerospace Center (DLR) and the China National Space Administration. In addition to the microgravity crystallization experiments these agencies also provided support for investigations that address the fundamental theoretical and experimental aspects associated with macromolecular crystallization. These investigations included the development of novel crystallization techniques and hardware that often include special diagnostic capabilities. Results from the microgravity and ground-based studies have provided a fundamental understanding of how gravity can adversely affect crystal nucleation and growth.Although there is sufficient evidence demonstrating the potential for a microgravity environment to improve the quality of macromolecular crystals this capability has not gained widespread enthusiasm and utilization by the academic/industrial structural biology community. As noted previously, this is predominantly owing to multiple constraints associated with space research including (1) inability to utilize the microgravity environment on a regular basis, (2) launch delays that often result in sample degradation, (3) delays in retrieving crystalline samples (resulting in crystal degradation), (4) the substantial amount of paperwork associated with obtaining flight approval for protein samples, and (5) the general uncertainty related to spaceflight. The most recent NRC review of NASA’s microgravity protein crystallization program (http://www.nature.com/nature/journal/v394/n6690/full/394213b0.html) stated that results were inconclusive. The review concluded that many of the reported crystal quality improvements were incremental and noted that there were difficulties conducting appropriate control experiments. The review concluded that microgravity protein crystallization had thus far resulted in a limited effect on structural biology. It concluded by suggesting that future microgravity experiments focus on compelling biological problems where the production of diffraction-quality crystals is extremely challenging and the chief barrier preventing structural solutions. In response to this report, there are a number of microgravity investigations currently underway that involve challenging crystallizations for aqueous proteins, protein-protein complexes and membrane proteins. The growing availability of commercial vehicles capable of transporting experiments to and from the International Space Station is projected to provide bimonthly access in the not too distant future. The ability to provide frequent access should help investigators perform statistically relevant crystal quality evaluations for a variety of challenging, biologically significant proteins. Positive results from these investigations combined with more frequent access to the unique microgravity environment should attract a large group of users from academia and industry. Use of a microgravity environment to improve the quality of macromolecular crystals has been under investigation since 1985. Results from a large and diverse on a number of proteins suggest that the diffusion-dominated environment provided via different microgravity platforms is often beneficial to several different protein crystallization techniques. The research was performed by group of international investigators who were sponsored by space agencies from several countries including the National Aeronautics and Space Administration (NASA), ESA, JAXA, Canadian Space Agency (CSA), German Aerospace Center (DLR) and the China National Space Administration. In addition to the microgravity crystallization experiments these agencies also provided support for investigations that address the fundamental theoretical and experimental aspects associated with macromolecular crystallization. These investigations included the development of novel crystallization techniques and hardware that often include special diagnostic capabilities. Results from the microgravity and ground-based studies have provided a fundamental understanding of how gravity can adversely affect crystal nucleation and growth.",FALSE,""
"27",28649624,"10.1038/s41526-016-0010-8","Spaceflight-induced neuroplasticity in humans as measured by MRI: what do we know so far?","Van Ombergen A",2017,"NPJ Microgravity","PMC5445591",FALSE,"",FALSE,"","",TRUE,"Competing interests The authors declare that they have no conflict of interest.",TRUE,"This work was supported by the European Space Agency (ESA) and BELSPO Prodex, the University and University Hospital of Antwerp and the Research Foundation Flanders (FWO Vlaanderen). AVO is a Research Fellow of the Research Foundation Flanders (Belgium, FWO Vlaanderen). SL is Research Director at the Fonds National de la Recherche Scientifique (FNRS). AVO received a 2016–2017 Amelia Earhart fellowship from Zonta International. The authors would like to thank Jeroen De Coninck for the help with the Fig. 2.",FALSE,""
"28",27802423,"10.18632/oncotarget.11871","Transfection of the IHH gene into rabbit BMSCs in a simulated microgravity environment promotes chondrogenic differentiation and inhibits cartilage aging","Liu PC",2016,"Oncotarget","PMC5325333",FALSE,"",FALSE,"","",TRUE,"CONFLICTS OF INTEREST: The authors declare that they have no conflict of interest.",TRUE,"The work of Peng-Cheng Liu is supported by the grant from the China Scholarship Council (CSC). GRANT SUPPORT: This project is supported by the National Science Foundation of China (grant no. 81371950).",FALSE,""
"29",32451389,"10.1038/s41598-020-65362-w","Reduced gravity promotes bacterially mediated anoxic hotspots in unsaturated porous media","Borer B",2020,"Sci Rep","PMC7248055",FALSE,"",FALSE,"","",TRUE,"Competing interests The authors declare no competing interests.",TRUE,"We acknowledge help with design and production of the experimental system from Daniel Breitenstein, Simon Fahrni, Ela Burmeister and Michael Arnold and editing of this manuscript by Dr. Russell Naisbit. Financial support for this work came from an Advanced Grant to DO by the European Research Council (ERC-3200499-‘SoilLife’) and from the RTD SystemsX.ch project ‘MicroscapesX’. JJM gratefully acknowledges financial support from the Swiss National Science Foundation (SNF, grant Nr. 200021_178986) and Eawag Discretionary Funding.",FALSE,""
"30",31156490,"10.3389/fpsyg.2019.00811","What We Know About Team Dynamics for Long-Distance Space Missions: A Systematic Review of Analog Research","Bell ST",2019,"Front Psychol","PMC6530432",FALSE,"",FALSE,"","",TRUE,"Conflict of Interest Statement The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"This work was supported by contract NNJ15HK18P awarded to the first author from the National Aeronautics and Space Administration (NASA). There are some similarities between this article and our longer technical report submitted to the funding agency, NASA/TM-2016-219280. All opinions expressed herein are strictly those of the authors and not necessarily those of the sponsoring organization.",FALSE,""
"31",29483891,"10.3389/fneur.2018.00060","Effects of Head Position on Perception of Gravity in Vestibular Neuritis and Lateral Medullary Infarction","Kim SH",2018,"Front Neurol","PMC5816270",FALSE,"",FALSE,"","",TRUE,"Conflict of Interest Statement The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"Funding.  This work was supported by grant No. 13-2015-005 from the SNUBH Research Fund.",FALSE,""
"32",32344794,"10.3390/ijms21093031","The Impact of Spaceflight and Simulated Microgravity on Cell Adhesion","Lin X",2020,"Int J Mol Sci","PMC7246714",FALSE,"",FALSE,"","",TRUE,"Conflicts of Interest The authors declare no conflict of interest.",TRUE,"Funding This study was supported by China Postdoctoral Science Foundation, 2017M613196; Fundamental Research Funds for the Central Universities, 3102019ghxm012.",FALSE,""
"33",35328492,"10.3390/ijms23063073","The Fight against Cancer by Microgravity: The Multicellular Spheroid as a Metastasis Model","Grimm D",2022,"Int J Mol Sci","PMC8953941",FALSE,"",FALSE,"","",TRUE,"Conflicts of Interest The authors declare no conflict of interest.",TRUE,"Funding This research was funded by Deutsches Zentrum für Luft- und Raumfahrt (DLR), BMWi projects 50WB1524 and 50WB1924 (D.G.).",FALSE,""
"34",28649637,"10.1038/s41526-017-0020-1","The adaptation of Escherichia coli cells grown in simulated microgravity for an extended period is both phenotypic and genomic","Tirumalai MR",2017,"NPJ Microgravity","PMC5460176",FALSE,"",FALSE,"","",TRUE,"Competing interests The authors declare that they have no competing financial interests.",TRUE,"This work was made possible by the loan of HARV vessels to the Fox group by NASA JSC. Funding was provided by the Institute of Space Systems Operations at the University of Houston and the NASA URC at Texas Southern University under Cooperative Agreement NNX08B4A47A.",FALSE,""
"35",36497128,"10.3390/cells11233871","Drosophila melanogaster Oocytes after Space Flight: The Early Period of Adaptation to the Force of Gravity","Ogneva IV",2022,"Cells","PMC9736949",FALSE,"",FALSE,"","",TRUE,"Conflicts of Interest The authors declare no conflict of interest.",TRUE,"This work was financially supported by the program for fundamental research SSC RF—IBMP RAS 65.4.",FALSE,""
"36",33270151,"10.1007/s00114-020-01708-8","Spiders in space-orb-web-related behaviour in zero gravity","Zschokke S",2020,"Naturwissenschaften","PMC7716925",FALSE,"",FALSE,"","",TRUE,"Competing interests The authors declare that they have no competing interests.",TRUE,"Funding Open access funding provided by University of Basel. Partial funding for the hardware development and implementation of the space flight experiment was received by BioServe Space Technologies at the University of Colorado via a supplemental award to cooperative agreement #NNJ10GA25A with NASA.",FALSE,""
"37",28955249,"10.3389/fphys.2017.00694","Altered Venous Function during Long-Duration Spaceflights","Fortrat JO",2017,"Front Physiol","PMC5600926",FALSE,"",FALSE,"","",TRUE,"Conflict of interest statement The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.",TRUE,"We would like to thank the cosmonauts for taking part in this study. We thank A. Kotovskaya, G. Fomina, and A. Salnikov from the Institute for Bio-Medical Problems of Moscow for sharing the data, for the in-depth scientific discussions, and for critical review of the manuscript. We thank D. Chaput, J. C. Lloret, and L. Nguyen from Centre National d'Études Spatiales (Toulouse, France) who set-up the Cardiomed device. We would also like to thank the Centre Hospitalier Universitaire d'Angers (Angers University Hospital) and the Centre de Recherche Clinique of the Centre Hospitalier-Universitaire d'Angers (Angers University Hospital Clinical Research Centre) for their help with the administrative procedures for biomedical research projects. Finally, we extend our thanks to M. Kantamirova who overcame the language barrier. JF benefits from the support of the Centre National d'Études Spatiales (National Centre for Spatial Studies) (CNES, grant # 2014/4800000763).",FALSE,""
